source,series,tag_type,raw_tag,suggested_canonical,suggested_ko,suggested_ja,suggested_en,parent_series,confidence,issue_type,evidence,action,notes
blue_archive_hold_audit,Blue Archive,character,飛鳥馬トキ,飛鳥馬トキ,아스마 토키,飛鳥馬トキ,Asuma Toki,Blue Archive,high,confirmed_localization,"resources/tag_packs/blue_archive.json already uses ko=아스마 토키, while core/tag_localizer.py still had 아스마 도키.",seed,"Sync built-in localization to the seeded pack."
blue_archive_hold_audit,Blue Archive,character,角楯カリン,角楯カリン,카쿠다테 카린,角楯カリン,Kakudate Karin,Blue Archive,high,confirmed_localization,"Current audit scope confirms 角楯カリン -> 카쿠다테 카린; core/tag_localizer.py still contained mistaken 鬼方カリン.",seed,"Built-in localization correction only in this PR."
blue_archive_hold_audit,Blue Archive,character,鬼方カリン,,,,Blue Archive,high,incorrect_canonical,"core/tag_localizer.py contained an incorrect Blue Archive canonical/localization pair that conflicts with confirmed Karin/Kayoko naming.",reject,"Do not seed; remove mistaken built-in localization."
trickcal_pending_alias_tests,Trickcal Re:VIVE,character,Haley,헤일리,헤일리,ヘイリー,,Trickcal Re:VIVE,medium,unstable_english_alias,"tests/test_tag_pack_trickcal_revive.py explicitly keeps Haley in PENDING_EN_NAMES while allowing only JA ヘイリー and the costume alias 헤일리(멀쩡).",hold,"Do not auto-seed English single-name alias without stronger evidence."
trickcal_pending_alias_tests,Trickcal Re:VIVE,character,Eshur,에슈르,에슈르,,,Trickcal Re:VIVE,low,unstable_english_alias,"tests/test_tag_pack_trickcal_revive.py keeps Eshur/Asher/Ashur variants in PENDING_EN_NAMES.",hold,"Alias conflict risk; keep as hold."
trickcal_pending_alias_tests,Trickcal Re:VIVE,character,Heidi,하이디,하이디,,,Trickcal Re:VIVE,low,unstable_english_alias,"tests/test_tag_pack_trickcal_revive.py keeps Heidi in PENDING_EN_NAMES and does not seed an EN localization for 하이디.",hold,"No stable official EN evidence in repo."
trickcal_pending_alias_tests,Trickcal Re:VIVE,character,Kommy,코미,코미,,,Trickcal Re:VIVE,low,unstable_english_alias,"tests/test_tag_pack_trickcal_revive.py keeps Kommy/Comi in PENDING_EN_NAMES.",hold,"Romanization conflict; keep out of seed."
trickcal_pending_alias_tests,Trickcal Re:VIVE,character,교주,교주,교주,,,Trickcal Re:VIVE,medium,common_noun_alias,"resources/tag_packs/trickcal_revive.json seeds 교주 only with parent_series=Trickcal Re:VIVE, and tests guard the disambiguating parent_series requirement.",needs_review,"Already seeded as canonical within Trickcal; do not broaden with extra single-name aliases."
hitomi_docs_readme,Blue Archive,series,blue archive,Blue Archive,블루 아카이브,ブルーアーカイブ,Blue Archive,,medium,hitomi_slug_alias,"docs/data/hitomi_base_catalog/README.md documents Hitomi series as lowercase slugs and gives `blue archive` as the example form.",needs_review,"No local extracted Hitomi sample file was found in this repo snapshot."
hitomi_existing_seed,Trickcal Re:VIVE,series,trickcal revive,Trickcal Re:VIVE,트릭컬 리바이브,トリッカル・もちもちほっペ大作戦,Trickcal Re:VIVE,,high,hitomi_slug_alias,"resources/tag_packs/trickcal_revive.json already includes `trickcal revive`, and tests guard it as the Hitomi-compatible lowercase alias.",already_seeded,"Kept in CSV for audit visibility; no new seed change needed."
hitomi_missing_extract,,,,,,,,,low,missing_source_data,"No local Hitomi extracted sample files (.research/build tags catalog output) were present in this repo snapshot; only docs/data/hitomi_base_catalog/README.md and extractor docs were available.",hold,"Generate additional Hitomi-derived candidate rows after a local extraction snapshot is provided."
